numWeek,Date,Open,High,Low,Close,Adj Close,Volume,P/L,Average,Std,Label
36,2021/6/7,62.880001,69.080002,62.02,68.18,68.18,39932500,5.299999,66.068,2.984724,0
37,2021/6/14,68.5,74.580002,67.945,74.190002,74.190002,67223500,5.690002,71.881,2.995692,0
38,2021/6/21,73.139999,77.459999,70.019997,76.839996,76.839996,55805500,3.699997,74.86,2.863033,0
39,2021/6/28,77.330002,80.540001,76.769997,79.309998,79.309998,33024000,1.979996,78.652,1.39428,0
40,2021/7/5,79.400002,81.769997,74.120003,76.989998,76.989998,33429000,-2.410004,77.854,2.575301,1
41,2021/7/12,77.230003,77.889999,68.379997,68.730003,68.730003,47697900,-8.5,72.192,4.389781,1
42,2021/7/19,67.32,77.919998,66.169998,76.910004,76.910004,46445900,9.590004,73.046,5.170752,0
43,2021/7/26,76.150002,77.290001,58.009998,58.900002,58.900002,125140700,-17.25,65.85,8.88858,1
44,2021/8/2,59.305,60.939999,56.810001,58.779999,58.779999,84907300,-0.525001,58.923,1.320596,1
45,2021/8/9,58.645,59.41,55.669998,56.060001,56.060001,46068800,-2.584999,57.169,1.543206,1
46,2021/8/16,56.099998,56.631001,51.950001,53.860001,53.860001,45343000,-2.239997,54.4802,1.698287,1
47,2021/8/23,53.919998,57.779999,53.801998,57.220001,57.220001,37297000,3.300003,55.9884,1.749408,0
48,2021/8/30,56.810001,58.16,55.360001,56.59,56.59,41013500,-0.220001,56.702,0.890334,1
49,2021/9/6,56.700001,56.939999,53.889999,54.240002,54.240002,25445300,-2.459999,55.202,1.329427,1
50,2021/9/13,54.25,55.59,52.639999,54.77,54.77,33075500,0.52,54.404,0.980808,0
51,2021/9/20,53.75,55.09,51.349998,54.200001,54.200001,39338400,0.450001,53.718,1.261387,0
52,2021/9/27,53.450001,54.029999,50.310001,52.619999,52.619999,34513600,-0.830002,52.606,1.265868,1
